,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,MonthlyCharges
0,22,0,25,14,4,27,1,1,598,9,1,598.0
1,41,0,28,28,7,13,2,1,584,20,0,584.0
2,47,1,27,10,2,29,3,12,757,21,0,63.083333333333336
3,35,1,9,12,5,17,3,3,232,18,0,77.33333333333333
4,53,0,58,24,9,2,2,12,533,18,0,44.416666666666664
5,30,1,41,14,10,10,3,1,500,29,0,500.0
6,47,0,37,15,9,28,1,3,574,14,1,191.33333333333334
7,54,0,36,11,0,18,2,1,323,16,0,323.0
8,36,1,20,5,10,8,1,1,687,8,0,687.0
9,65,1,8,4,2,23,1,12,995,10,0,82.91666666666667
10,46,0,42,27,9,21,2,12,526,3,1,43.833333333333336
11,56,1,13,23,5,14,1,3,187,1,0,62.333333333333336
12,31,1,2,7,0,25,3,3,758,24,0,252.66666666666666
13,42,1,46,27,5,8,3,3,438,30,0,146.0
14,59,1,21,17,2,14,3,3,663,15,0,221.0
15,35,0,1,3,7,3,1,1,677,25,1,677.0
16,29,1,54,3,6,2,1,1,636,22,0,636.0
17,45,1,9,30,4,25,1,12,127,18,0,10.583333333333334
18,65,0,40,2,1,6,3,12,396,21,0,33.0
19,62,1,39,19,2,15,3,3,202,24,0,67.33333333333333
20,48,1,28,7,1,21,3,1,925,13,0,925.0
21,36,0,58,4,0,1,3,3,463,26,0,154.33333333333334
22,55,1,50,28,0,17,2,3,449,3,0,149.66666666666666
23,36,0,54,20,4,1,1,1,373,25,0,373.0
24,64,1,59,7,5,9,1,12,460,12,0,38.333333333333336
25,65,0,58,7,3,30,3,12,166,1,1,13.833333333333334
26,53,0,58,18,8,4,1,3,615,4,0,205.0
27,41,0,60,7,7,0,3,12,696,20,0,58.0
28,25,0,41,11,5,11,3,12,678,30,0,56.5
29,44,0,44,7,8,16,1,3,792,27,1,264.0
30,28,0,23,8,8,0,1,12,812,3,0,67.66666666666667
31,34,1,26,3,0,2,1,12,156,15,0,13.0
32,24,1,1,7,0,3,2,12,611,4,0,50.916666666666664
33,27,0,41,8,1,7,3,1,943,12,0,943.0
34,31,0,31,6,2,29,2,3,329,6,1,109.66666666666667
35,46,1,30,10,4,16,2,1,493,1,0,493.0
36,59,1,44,17,3,2,1,3,636,30,0,212.0
37,56,0,27,15,8,24,2,1,384,6,1,384.0
38,27,0,44,21,3,22,3,12,515,1,0,42.916666666666664
39,42,1,51,10,9,11,1,1,820,17,0,820.0
40,29,0,28,23,7,16,1,3,1000,26,1,333.3333333333333
41,36,1,45,24,5,2,3,3,405,4,0,135.0
42,61,1,19,2,7,2,3,1,879,4,1,879.0
43,57,1,2,26,5,14,3,1,771,4,0,771.0
44,56,1,9,16,1,22,3,1,600,17,0,600.0
45,42,0,14,14,8,12,1,1,825,19,0,825.0
46,36,0,24,21,8,29,1,1,231,8,1,231.0
47,37,1,13,26,2,26,1,3,259,15,0,86.33333333333333
48,51,0,15,26,10,25,1,3,244,1,1,81.33333333333333
49,57,0,46,30,2,21,2,12,705,5,0,58.75
50,47,0,47,4,7,3,2,1,136,14,0,136.0
51,29,1,3,5,0,23,2,1,843,6,0,843.0
52,45,0,17,4,5,23,2,12,402,8,1,33.5
53,18,0,22,21,3,30,3,12,919,3,0,76.58333333333333
54,27,1,57,4,10,20,3,12,699,4,1,58.25
