,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,MonthlyCharges,RiskScore,Engagement
0,22,0,25,14,4,27,1,1,598,9,1,598.0,31,0.5384615384615384
1,41,0,28,28,7,13,2,1,584,20,0,584.0,20,0.9655172413793104
2,47,1,27,10,2,29,3,12,757,21,0,63.08,31,0.35714285714285715
3,35,1,9,12,5,17,3,3,232,18,0,77.33,22,1.2
4,53,0,58,24,9,2,2,12,533,18,0,44.42,11,0.4067796610169492
5,30,1,41,14,10,10,3,1,500,29,0,500.0,20,0.3333333333333333
6,47,0,37,15,9,28,1,3,574,14,1,191.33,37,0.39473684210526316
7,54,0,36,11,0,18,2,1,323,16,0,323.0,18,0.2972972972972973
8,36,1,20,5,10,8,1,1,687,8,0,687.0,18,0.23809523809523808
9,65,1,8,4,2,23,1,12,995,10,0,82.92,25,0.4444444444444444
10,46,0,42,27,9,21,2,12,526,3,1,43.83,30,0.627906976744186
11,56,1,13,23,5,14,1,3,187,1,0,62.33,19,1.6428571428571428
12,31,1,2,7,0,25,3,3,758,24,0,252.67,25,2.3333333333333335
13,42,1,46,27,5,8,3,3,438,30,0,146.0,13,0.574468085106383
14,59,1,21,17,2,14,3,3,663,15,0,221.0,16,0.7727272727272727
15,35,0,1,3,7,3,1,1,677,25,1,677.0,10,1.5
16,29,1,54,3,6,2,1,1,636,22,0,636.0,8,0.05454545454545454
17,45,1,9,30,4,25,1,12,127,18,0,10.58,29,3.0
18,65,0,40,2,1,6,3,12,396,21,0,33.0,7,0.04878048780487805
19,62,1,39,19,2,15,3,3,202,24,0,67.33,17,0.475
20,48,1,28,7,1,21,3,1,925,13,0,925.0,22,0.2413793103448276
21,36,0,58,4,0,1,3,3,463,26,0,154.33,1,0.06779661016949153
22,55,1,50,28,0,17,2,3,449,3,0,149.67,17,0.5490196078431373
23,36,0,54,20,4,1,1,1,373,25,0,373.0,5,0.36363636363636365
24,64,1,59,7,5,9,1,12,460,12,0,38.33,14,0.11666666666666667
25,65,0,58,7,3,30,3,12,166,1,1,13.83,33,0.11864406779661017
26,53,0,58,18,8,4,1,3,615,4,0,205.0,12,0.3050847457627119
27,41,0,60,7,7,0,3,12,696,20,0,58.0,7,0.11475409836065574
28,25,0,41,11,5,11,3,12,678,30,0,56.5,16,0.2619047619047619
29,44,0,44,7,8,16,1,3,792,27,1,264.0,24,0.15555555555555556
30,28,0,23,8,8,0,1,12,812,3,0,67.67,8,0.3333333333333333
31,34,1,26,3,0,2,1,12,156,15,0,13.0,2,0.1111111111111111
32,24,1,1,7,0,3,2,12,611,4,0,50.92,3,3.5
33,27,0,41,8,1,7,3,1,943,12,0,943.0,8,0.19047619047619047
34,31,0,31,6,2,29,2,3,329,6,1,109.67,31,0.1875
35,46,1,30,10,4,16,2,1,493,1,0,493.0,20,0.3225806451612903
36,59,1,44,17,3,2,1,3,636,30,0,212.0,5,0.37777777777777777
37,56,0,27,15,8,24,2,1,384,6,1,384.0,32,0.5357142857142857
38,27,0,44,21,3,22,3,12,515,1,0,42.92,25,0.4666666666666667
39,42,1,51,10,9,11,1,1,820,17,0,820.0,20,0.19230769230769232
40,29,0,28,23,7,16,1,3,1000,26,1,333.33,23,0.7931034482758621
41,36,1,45,24,5,2,3,3,405,4,0,135.0,7,0.5217391304347826
42,61,1,19,2,7,2,3,1,879,4,1,879.0,9,0.1
43,57,1,2,26,5,14,3,1,771,4,0,771.0,19,8.666666666666666
44,56,1,9,16,1,22,3,1,600,17,0,600.0,23,1.6
45,42,0,14,14,8,12,1,1,825,19,0,825.0,20,0.9333333333333333
46,36,0,24,21,8,29,1,1,231,8,1,231.0,37,0.84
47,37,1,13,26,2,26,1,3,259,15,0,86.33,28,1.8571428571428572
48,51,0,15,26,10,25,1,3,244,1,1,81.33,35,1.625
49,57,0,46,30,2,21,2,12,705,5,0,58.75,23,0.6382978723404256
50,47,0,47,4,7,3,2,1,136,14,0,136.0,10,0.08333333333333333
51,29,1,3,5,0,23,2,1,843,6,0,843.0,23,1.25
52,45,0,17,4,5,23,2,12,402,8,1,33.5,28,0.2222222222222222
53,18,0,22,21,3,30,3,12,919,3,0,76.58,33,0.9130434782608695
54,27,1,57,4,10,20,3,12,699,4,1,58.25,30,0.06896551724137931
55,23,1,34,20,3,26,1,12,733,1,0,61.08,29,0.5714285714285714
56,60,1,24,11,9,10,2,1,563,10,0,563.0,19,0.44
57,57,1,24,28,3,24,3,12,448,12,0,37.33,27,1.12
58,28,0,29,3,2,21,3,3,172,2,1,57.33,23,0.1
59,64,0,39,25,2,9,2,3,933,9,0,311.0,11,0.625
60,30,1,57,21,8,24,2,12,576,6,1,48.0,32,0.3620689655172414
61,18,0,57,16,10,2,1,3,657,26,0,219.0,12,0.27586206896551724
62,24,1,13,25,9,27,3,3,843,29,0,281.0,36,1.7857142857142858
63,40,1,54,7,0,15,2,12,731,27,0,60.92,15,0.12727272727272726
64,26,0,33,27,1,23,1,3,665,5,0,221.67,24,0.7941176470588235
65,41,1,35,4,6,16,2,12,546,26,1,45.5,22,0.1111111111111111
66,64,0,19,27,2,0,1,1,579,14,0,579.0,2,1.35
67,42,1,34,2,7,17,3,12,757,25,1,63.08,24,0.05714285714285714
68,24,1,28,13,0,27,3,3,515,27,0,171.67,27,0.4482758620689655
69,52,0,56,8,9,21,3,12,599,20,1,49.92,30,0.14035087719298245
70,48,1,57,29,1,19,2,1,554,12,0,554.0,20,0.5
71,28,0,34,20,1,1,1,12,986,19,0,82.17,2,0.5714285714285714
72,52,0,5,12,5,23,1,12,844,12,0,70.33,28,2.0
73,52,0,37,26,5,29,2,12,668,3,1,55.67,34,0.6842105263157895
74,56,0,55,15,10,3,2,12,867,26,0,72.25,13,0.26785714285714285
75,64,1,48,9,7,26,3,12,471,11,1,39.25,33,0.1836734693877551
76,41,1,59,30,5,26,1,12,628,11,1,52.33,31,0.5
77,48,0,47,12,0,29,1,1,761,8,1,761.0,29,0.25
78,22,1,39,10,3,29,2,1,599,13,0,599.0,32,0.25
79,42,0,19,25,5,13,3,1,372,8,0,372.0,18,1.25
80,55,0,54,26,0,9,3,12,213,13,0,17.75,9,0.4727272727272727
81,43,0,6,16,6,21,1,1,996,17,1,996.0,27,2.2857142857142856
82,34,1,26,22,8,9,3,1,403,3,0,403.0,17,0.8148148148148148
83,27,1,42,22,3,27,1,1,468,25,0,468.0,30,0.5116279069767442
84,19,0,59,24,3,26,1,3,368,8,1,122.67,29,0.4
85,58,1,59,10,5,8,1,1,599,25,0,599.0,13,0.16666666666666666
86,22,0,39,9,2,13,1,3,759,1,0,253.0,15,0.225
87,22,1,25,10,10,17,3,1,966,7,1,966.0,27,0.38461538461538464
88,61,0,28,9,6,5,2,1,784,7,0,784.0,11,0.3103448275862069
89,28,1,17,19,10,12,3,3,332,24,0,110.67,22,1.0555555555555556
90,33,1,36,18,0,24,3,12,364,1,0,30.33,24,0.4864864864864865
91,37,0,57,21,6,6,3,3,209,29,0,69.67,12,0.3620689655172414
92,65,0,6,21,1,2,3,3,428,29,0,142.67,3,3.0
93,22,1,51,27,9,23,2,12,347,11,1,28.92,32,0.5192307692307693
94,42,1,37,14,0,24,3,12,418,13,0,34.83,24,0.3684210526315789
95,36,0,42,18,8,6,3,3,322,10,0,107.33,14,0.4186046511627907
96,20,1,32,7,5,14,1,12,920,28,0,76.67,19,0.21212121212121213
97,58,1,21,28,10,2,1,12,894,28,0,74.5,12,1.2727272727272727
98,65,1,21,3,5,20,2,3,570,1,1,190.0,25,0.13636363636363635
99,40,1,6,26,10,0,1,12,632,5,0,52.67,10,3.7142857142857144
100,52,0,45,20,6,28,2,1,442,10,1,442.0,34,0.43478260869565216
101,35,1,47,23,4,8,2,12,969,7,0,80.75,12,0.4791666666666667
102,62,0,16,13,9,15,2,3,719,19,0,239.67,24,0.7647058823529411
103,41,1,20,27,4,13,1,1,941,18,0,941.0,17,1.2857142857142858
104,36,1,10,22,9,0,2,3,218,7,0,72.67,9,2.0
105,39,1,59,29,5,7,1,12,225,27,0,18.75,12,0.48333333333333334
106,62,1,10,9,1,18,2,3,345,27,0,115.0,19,0.8181818181818182
107,55,1,22,15,1,19,2,3,769,30,0,256.33,20,0.6521739130434783
108,44,0,54,20,1,9,1,3,717,9,0,239.0,10,0.36363636363636365
109,39,0,7,30,3,5,1,1,199,13,0,199.0,8,3.75
110,30,1,57,20,8,26,3,1,821,8,1,821.0,34,0.3448275862068966
111,41,1,8,11,9,24,3,1,900,14,0,900.0,33,1.2222222222222223
112,56,1,56,3,3,12,2,1,175,11,0,175.0,15,0.05263157894736842
113,24,1,10,3,8,13,1,12,317,3,0,26.42,21,0.2727272727272727
114,28,0,43,30,7,5,1,1,600,11,0,600.0,12,0.6818181818181818
115,46,0,43,10,0,10,1,3,779,23,0,259.67,10,0.22727272727272727
116,18,1,36,18,7,14,2,1,635,19,0,635.0,21,0.4864864864864865
117,34,1,28,7,8,7,3,1,524,1,0,524.0,15,0.2413793103448276
118,39,1,13,27,6,21,1,3,382,16,0,127.33,27,1.9285714285714286
119,32,0,3,12,8,8,1,3,990,21,0,330.0,16,3.0
120,35,0,47,2,8,21,1,1,532,7,1,532.0,29,0.041666666666666664
121,40,1,28,4,0,21,1,12,377,7,0,31.42,21,0.13793103448275862
122,44,1,13,26,3,3,1,1,486,25,0,486.0,6,1.8571428571428572
123,52,0,50,10,2,26,1,3,640,3,0,213.33,28,0.19607843137254902
124,40,0,35,15,6,20,1,12,104,27,1,8.67,26,0.4166666666666667
125,41,1,58,27,1,3,3,12,392,3,0,32.67,4,0.4576271186440678
126,30,0,23,29,1,22,2,12,255,24,1,21.25,23,1.2083333333333333
127,64,0,36,17,4,15,2,1,237,5,0,237.0,19,0.4594594594594595
128,43,0,52,13,10,14,2,3,555,11,0,185.0,24,0.24528301886792453
129,31,0,36,23,2,5,3,12,444,2,0,37.0,7,0.6216216216216216
130,61,1,6,15,2,30,3,12,630,18,0,52.5,32,2.142857142857143
131,56,0,33,7,0,22,3,1,664,27,1,664.0,22,0.20588235294117646
132,57,1,37,15,4,10,1,1,186,9,0,186.0,14,0.39473684210526316
133,41,0,59,20,0,17,2,3,978,11,0,326.0,17,0.3333333333333333
134,46,1,47,14,10,16,1,12,996,16,1,83.0,26,0.2916666666666667
135,65,0,26,17,10,25,1,12,254,1,1,21.17,35,0.6296296296296297
136,25,1,27,15,2,15,1,3,123,19,0,41.0,17,0.5357142857142857
137,43,1,37,11,3,23,2,12,377,9,0,31.42,26,0.2894736842105263
138,65,1,13,4,3,12,1,1,921,3,0,921.0,15,0.2857142857142857
139,25,0,58,7,5,9,1,12,920,22,0,76.67,14,0.11864406779661017
140,45,1,56,29,0,24,2,12,335,18,0,27.92,24,0.5087719298245614
141,20,1,59,10,5,5,3,3,803,15,0,267.67,10,0.16666666666666666
142,38,1,10,9,1,30,3,12,888,28,0,74.0,31,0.8181818181818182
143,43,0,16,20,10,26,1,12,712,2,0,59.33,36,1.1764705882352942
144,24,1,8,12,9,15,1,12,257,18,0,21.42,24,1.3333333333333333
145,56,0,2,20,6,17,1,3,355,12,0,118.33,23,6.666666666666667
