Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,MonthlyCharges
22,0,25,14,4,27,1,1,598,9,1,598
41,0,28,28,7,13,2,1,584,20,0,584
47,1,27,10,2,29,3,12,757,21,0,63.08
35,1,9,12,5,17,3,3,232,18,0,77.33
53,0,58,24,9,2,2,12,533,18,0,44.42
30,1,41,14,10,10,3,1,500,29,0,500
47,0,37,15,9,28,1,3,574,14,1,191.33
54,0,36,11,0,18,2,1,323,16,0,323
36,1,20,5,10,8,1,1,687,8,0,687
65,1,8,4,2,23,1,12,995,10,0,82.92
46,0,42,27,9,21,2,12,526,3,1,43.83
56,1,13,23,5,14,1,3,187,1,0,62.33
31,1,2,7,0,25,3,3,758,24,0,252.67
42,1,46,27,5,8,3,3,438,30,0,146
59,1,21,17,2,14,3,3,663,15,0,221
35,0,1,3,7,3,1,1,677,25,1,677
29,1,54,3,6,2,1,1,636,22,0,636
45,1,9,30,4,25,1,12,127,18,0,10.58
65,0,40,2,1,6,3,12,396,21,0,33
62,1,39,19,2,15,3,3,202,24,0,67.33
48,1,28,7,1,21,3,1,925,13,0,925
36,0,58,4,0,1,3,3,463,26,0,154.33
55,1,50,28,0,17,2,3,449,3,0,149.67
36,0,54,20,4,1,1,1,373,25,0,373
64,1,59,7,5,9,1,12,460,12,0,38.33
65,0,58,7,3,30,3,12,166,1,1,13.83
53,0,58,18,8,4,1,3,615,4,0,205
41,0,60,7,7,0,3,12,696,20,0,58
25,0,41,11,5,11,3,12,678,30,0,56.5
44,0,44,7,8,16,1,3,792,27,1,264
28,0,23,8,8,0,1,12,812,3,0,67.67
34,1,26,3,0,2,1,12,156,15,0,13
24,1,1,7,0,3,2,12,611,4,0,50.92
27,0,41,8,1,7,3,1,943,12,0,943
31,0,31,6,2,29,2,3,329,6,1,109.67
46,1,30,10,4,16,2,1,493,1,0,493
59,1,44,17,3,2,1,3,636,30,0,212
56,0,27,15,8,24,2,1,384,6,1,384
27,0,44,21,3,22,3,12,515,1,0,42.92
42,1,51,10,9,11,1,1,820,17,0,820
